Product Name,Current Price,Original Price,Discount,Rating,Rating and Reviews,Specifications
"TVS iQube ST 3.4 kWh Booking for Ex-Showroom Price (With Charger, Titanium Grey Matte)","₹1,62,106","N/A","N/A","N/A","N/A","Range 100 km | Maximum Speed 78 km/h | Charging Time3 Hr | Tire TypeTubeless | The TVS iQube ST (3.4 kWh) comes with 3 years/ 50,000 km of OEM warranty (whichever is earlier)."
"Hero Pleasure+ (XTEC Connected) Booking for Ex-Showroom Price","₹84,463","N/A","N/A","4.5","2,928 Ratings & 261 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 14 L | Console Feature: Speedometer | Hero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase."
"Hero Pleasure+ (LX) Booking for Ex-Showroom Price","₹72,713","N/A","N/A","4.5","2,928 Ratings & 261 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 14 L | Console Feature: Analog Speedometer | Hero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase."
"TVS Radeon (Digi Edition) Booking for Ex-Showroom Price","₹84,350","N/A","N/A","4.6","74 Ratings & 7 Reviews","Maximum Power: 8.18 bhp (at 7350 RPM) | Displacement: 109.7 cc | Brake Front: Disc | Tire Type: Tubeless | Console Feature: Speedometer: Digital Odometer: Digital | During 5 Years from the date of purchase or during the first 60,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier, the parts of the vehicle covered under warranty which prove to the satisfaction of the Company to have a manufacturing defect will be repaired or replaced free of cost."
"Hero XOOM COMBAT EDITION Booking for Ex-Showroom Price","₹85,519","N/A","N/A","5","7 Ratings & 1 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 19 L | Console Feature: BLUETOOTH CONNECTIVITY - CALL AND MESSAGE ALERT"
"TVS XL100 Booking for Ex-Showroom Price","₹62,426","N/A","N/A","4.3","44 Ratings & 6 Reviews","Displacement: 99.7 cc | Brake Front: Drum | Tire Type: Tubed | Console Feature: Analog | During 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""
"TVS XL100 Booking for Ex-Showroom Price","₹41,345","N/A","N/A","4.3","44 Ratings & 6 Reviews","Displacement: 99.7 cc | Brake Front: Drum | Tire Type: Tubed | Console Feature: Analog | During 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""
"TVS XL100 Booking for Ex-Showroom Price","₹61,623","N/A","N/A","4.3","44 Ratings & 6 Reviews","Displacement: 99.7 cc | Brake Front: Drum | Tire Type: Tubed | Console Feature: Analog | During 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""
"TVS XL100 Booking for Ex-Showroom Price","₹58,123","N/A","N/A","4.3","44 Ratings & 6 Reviews","Displacement: 99.7 cc | Brake Front: Drum | Tire Type: Tubed | Console Feature: Analog | During 3 Years from the date of purchase or during the first 36,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier.""
"TVS Zest Booking for Ex-Showroom Price","₹77,090","N/A","N/A","4.7","27 Ratings & 3 Reviews","Displacement: 109.7 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 19 L | Console Feature: Analog Speedometer | During 5 years from the date of purchase or during the first 50,000 km of run for the vehicle in the hands of original retail purchaser, whichever is earlier."
"Hero Pleasure+ (XTEC Connected) Booking for Ex-Showroom Price","₹84,303","N/A","N/A","4.5","2,928 Ratings & 261 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 14 L | Console Feature: Speedometer | Hero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase."
"Hero Pleasure+ (XTEC Sports) Booking for Ex-Showroom Price","₹77,648","N/A","N/A","4.5","2,928 Ratings & 261 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 14 L | Console Feature: Speedometer | Hero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase."
"Hero Pleasure+ VX Booking for Ex-Showroom Price","₹77,929","N/A","N/A","4.5","2,928 Ratings & 261 Reviews","Displacement: 110.9 cc | Brake Front: Drum | Tire Type: Tubeless | Under Seat Storage: 14 L | Console Feature: Speedometer | Hero MotoCorp warrants all its motorcycles for a period of 5 years or 70000 Km and scooters for a period of 5 years or 50000 Km, whichever is earlier, from the date of purchase."
"Hero Destini Prime Booking for Ex-Showroom Price","₹75,678","N/A","N/A","4.4","2,949 Ratings & 290 Reviews","Displacement: 124.6 cc | Brake Front: Drum | Tire Type: Tubeless | Console Feature: Digi Analog Speedometer"
